show_id,type,title,budget
s487,Movie,While You Were Sleeping,17000000
s488,TV Show,A.N.T. Farm,
s489,TV Show,Into the Unknown: Making Frozen II,
s490,Movie,Man in Space,0
s491,Movie,"ETs Among Us 2: Our Alien Origins, Antarctica, Mars and Beyond",0
s492,Movie,Avengers: Infinity War,300000000
s493,Movie,Tarzan,130000000
s494,Movie,Tarzan II,0
s495,TV Show,101 Dalmatians: The Series,
s496,Movie,Big Sur-Wild California,0
s497,TV Show,Muppet Babies: Play Date,
s498,Movie,Egypt's Treasure Guardians,0
s499,Movie,The Jungle Book,4000000
s500,Movie,Tinker Bell and the Pirate Fairy,0
s501,Movie,Trail Mix-Up,0
s502,Movie,Tummy Trouble,0
s503,Movie,Artemis Fowl,125000000
s504,TV Show,Mighty Med,
s505,Movie,The Liberty Story,0
s506,Movie,The Story of the Animated Drawing,0
s507,Movie,Walt & El Grupo,0
s508,TV Show,Alaska's Grizzly Gauntlet,
s509,Movie,America's Greatest Animals,0
s510,Movie,Chasing the Equinox,0
s512,TV Show,Japan: Between Earth & Sky,
s513,Movie,Percy Jackson & the Olympians: The Lightning Thief,95000000
s514,TV Show,Secrets of Wild India,
s515,TV Show,The Greeks,
s516,TV Show,Wild Hawaii,
s517,Movie,Women of Impact: Changing the World,0
s518,Movie,Maggie Simpson in The Longest Daycare,0
s519,Movie,Mickey and the Seal,0
s520,TV Show,The Evermoor Chronicles,
s521,Movie,The Moon-Spinners,0
s522,TV Show,Doc McStuffins,
s523,Movie,Fantastic Mr. Fox,40000000
s524,Movie,"Hello, Dolly!",24000000
s525,TV Show,Marvel's Future Avengers,
s526,Movie,Out,0
s527,TV Show,The Big Fib,
s528,Movie,The Boys: The Sherman Brothers' Story,0
s529,TV Show,It's a Dog's Life with Bill Farmer,
s530,Movie,Maleficent: Mistress of Evil,185000000
s531,Movie,Star Wars: The Rise of Skywalker,250000000
s532,Movie,John Carter,250000000
s533,TV Show,Awesome Animals,
s534,TV Show,Birth of Europe,
s535,Movie,Bride of Boogedy,0
s536,TV Show,Buried Secrets of The Bible With Albert Lin,
s537,TV Show,Prop Culture,
s538,Movie,George of the Jungle,55000000
s539,Movie,Homeward Bound II: Lost in San Francisco,0
s540,Movie,Homeward Bound: The Incredible Journey,0
s541,Movie,How to Play Baseball,0
s542,Movie,Beaver Valley,0
s543,TV Show,Lost Treasures of Egypt,
s544,TV Show,Love & Vets,
s545,Movie,Nature's Half Acre,0
s546,TV Show,Prairie Dog Manor,
s547,Movie,Prowlers of the Everglades,0
s548,Movie,The Princess Bride,16000000
s549,TV Show,United States of Animals,
s550,TV Show,Unlikely Animal Friends,
s551,Movie,Water Birds,0
s552,Movie,National Treasure,100000000
s553,Movie,Born Wild: The Next Generation,0
s554,TV Show,America's Funniest Home Videos,
s555,Movie,The Olympic Elk,0
s556,TV Show,Rapunzel's Tangled Adventure,
s557,Movie,Jane Goodall: The Hope,0
s558,TV Show,Brain Games,
s559,TV Show,Mickey and the Roadster Racers,
s560,Movie,Let's Stick Together,0
s561,Movie,Pluto's Purchase,0
s562,TV Show,TRON: Uprising,
s563,Movie,A Celebration of the Music from Coco,0
s564,TV Show,Playtime with Puppy Dog Pals,
s565,Movie,Maggie Simpson in Playdate with Destiny,0
s566,TV Show,Paradise Islands,
s567,TV Show,Tut's Treasures: Hidden Secrets,
s568,Movie,A Tale of Two Critters,0
s569,Movie,All in a Nutshell,0
s570,Movie,Penguins,0
s571,Movie,Diving with Dolphins,0
s572,Movie,Dolphin Reef,0
s573,Movie,Don's Fountain of Youth,0
s574,Movie,Donald's Dog Laundry,0
s575,Movie,Double Dribble,0
s576,Movie,Dragon Around,0
s577,Movie,Elephant,3000000
s578,Movie,Elmer Elephant,0
s579,TV Show,Fish Hooks,
s580,Movie,How to Play Football,0
s581,Movie,In the Footsteps of Elephant,0
s582,Movie,Lambert the Sheepish Lion,0
s583,Movie,On Ice,0
s584,Movie,Onward,200000000
s585,Movie,Out of Scale,0
s586,Movie,Penguins: Life on the Edge,0
s587,Movie,Pluto's Party,0
s588,Movie,Sea Scouts,0
s589,TV Show,Sonny with a Chance,
s590,Movie,The Boy Who Talked to Badgers,0
s591,Movie,The New Neighbor,0
s592,Movie,The Small One,0
s593,Movie,The Straight Story,10000000
s594,Movie,Frankenweenie,39000000
s595,Movie,Mars Needs Moms,150000000
s596,Movie,Prom,8000000
s597,Movie,The Last Song,20000000
s598,Movie,The Odd Life of Timothy Green,25000000
s599,TV Show,Be our Chef,
s600,Movie,A Wrinkle in Time,103000000
s601,TV Show,I Didn't Do It,
s602,TV Show,Disney Insider,
s603,TV Show,Vampirina: Ghoul Girls Rock!,
s604,Movie,G-Force,150000000
s605,Movie,Frozen II,150000000
s606,Movie,Stargirl,0
s607,Movie,The Finest Hours,80000000
s608,Movie,The Sandlot: Heading Home,0
s609,Movie,Bedtime Stories,80000000
s610,Movie,Black Panther,200000000
s611,TV Show,101 Dalmatian Street,
s612,Movie,Phineas and Ferb: Star Wars,0
s613,TV Show,Shop Class,
s614,Movie,Viking Warrior Women,0
s615,TV Show,Star Wars Resistance,
s616,TV Show,Lost Cities with Albert Lin,
s617,Movie,Marvel Rising: Operation Shuri,0
s618,Movie,Marvel Rising: Playing with Fire,0
s619,TV Show,Star Wars: The Clone Wars,
s620,Movie,Iron Man & Hulk: Heroes United,0
s621,Movie,Because of Winn-Dixie,14000000
s622,TV Show,Disney's Fairy Tale Weddings,
s623,Movie,My Dog the Thief,0
s624,Movie,Splash,8000000
s625,TV Show,That's So Raven,
s626,Movie,Timmy Failure: Mistakes Were Made,45000000
s627,Movie,Toy Story 4,175000000
s628,Movie,Descendants 3,15000000
s629,Movie,Around the World in 80 Days,110000000
s630,Movie,Big Business,0
s631,Movie,Lamp Life,0
s632,Movie,The Lion King,45000000
s633,TV Show,Diary of a Future President,
s634,TV Show,High School Musical: The Musical: The Series: The Sing-Along,
s635,TV Show,America's National Parks,
s636,TV Show,Continent 7: Antarctica,
s637,TV Show,Randy Cunningham: 9th Grade Ninja,
s638,TV Show,Muppet Babies: Show and Tell,
s639,TV Show,The Lodge,
s640,TV Show,Wild Russia,
s641,Movie,Destino,1500000
s642,Movie,Forky Asks a Question: What Is Reading?,0
s643,Movie,Loop,0
s644,TV Show,Marvel's Runaways,
s645,Movie,Aladdin,183000000
s646,Movie,Forky Asks a Question: What Is Cheese?,0
s647,TV Show,Austin & Ally,
s648,TV Show,Billy Dilley’s Super-Duper Subterranean Summer,
s649,Movie,El Materdor,0
s650,Movie,Moon Mater,0
s651,Movie,Rescue Squad Mater,0
s652,Movie,Spinning,0
s653,Movie,Time Travel Mater,0
s654,Movie,Tokyo Mater,0
s655,Movie,Unidentified Flying Mater,0
s656,Movie,Bugged,0
s657,Movie,Cool Runnings,14000000
s658,Movie,Drain Alcatraz,0
s659,Movie,Drain the Bermuda Triangle,2000000
s660,Movie,Drain The Great Lakes,0
s661,Movie,Drain The Ocean: WWII,0
s662,Movie,Drain The Sunken Pirate City,0
